;nfl_id;player_name;team_name;player_display_name;team;player_id
416;43411;Andrew Billings;CHI;Andrew Billings;CHI;00-0033066
573;54507;Andrew Booth;MIN;Andrew Booth;MIN;00-0038130
733;56585;Andrew Farmer;LAC;Andrew Farmer;LAC;00-0038865
271;47934;Andrew Van Ginkel;MIA;Andrew Van Ginkel;MIA;00-0035272
116;48508;Andrew Wingard;JAX;Andrew Wingard;JAX;00-0035378
487;52495;Anfernee Jennings;NE;Anfernee Jennings;NE;00-0036193
636;42443;Angelo Blackson;JAX;Angelo Blackson;JAX;00-0032107
718;41235;Anthony Barr;MIN;Anthony Barr;MIN;00-0031256
619;56107;Anthony Johnson Jr.;GB;;;00-0038411
766;56568;Anthony Kendall;TEN;Anthony Kendall;TEN;00-0038848
136;47890;Anthony Nelson;TB;Anthony Nelson;TB;00-0035254
72;44974;Anthony Walker;CLE;Anthony Walker;CLE;00-0033570
119;52453;Antoine Winfield Jr.;TB;;;00-0036411
212;43986;Antonio Hamilton;ARI;Antonio Hamilton;ARI;00-0032933
547;56025;Antonio Johnson;JAX;Antonio Johnson;JAX;00-0038596
53;53819;Ar'Darius Washington;BAL;Ar'Darius Washington;BAL;00-0036587
429;46156;Arden Key;TEN;Arden Key;TEN;00-0034825
43;54503;Arnold Ebiketie;ATL;Arnold Ebiketie;ATL;00-0038116
456;45395;Arthur Maulet;BAL;Arthur Maulet;BAL;00-0033503
329;43314;Artie Burns;SEA;Artie Burns;SEA;00-0033103
280;53476;Asante Samuel;LAC;Asante Samuel;LAC;00-0036617
376;52476;Ashtyn Davis;NYJ;Ashtyn Davis;NYJ;00-0036329
294;46194;Avonte Maddox;PHI;Avonte Maddox;PHI;00-0034377
153;48268;Azeez Al-Shaair;TEN;Azeez Al-Shaair;TEN;00-0035166
709;53479;Azeez Ojulari;NYG;Azeez Ojulari;NYG;00-0036552
92;46138;B.J. Hill;CIN;B.J. Hill;CIN;00-0034800
620;53534;Baron Browning;DEN;Baron Browning;DEN;00-0036995
715;54696;Baylon Spector;BUF;Baylon Spector;BUF;00-0037318
790;56244;Ben VanSumeren;PHI;;;00-0038489
555;52743;Benito Jones;DET;Benito Jones;DET;00-0035841
202;53503;Benjamin St-Juste;WAS;Benjamin St-Juste;WAS;00-0036625
704;56225;Benny Sapp;GB;;;
758;55217;Benton Whitley;NYG;Benton Whitley;NYG;00-0037638
532;55906;BJ Ojulari;ARI;;;00-0039155
466;47940;Blake Cashman;HOU;Blake Cashman;HOU;00-0035276
745;43420;Blake Martinez;PIT;Blake Martinez;PIT;00-0032408
432;42488;Bobby McCain;NYG;Bobby McCain;NYG;00-0031587
344;47872;Bobby Okereke;NYG;Bobby Okereke;NYG;00-0035687
322;38577;Bobby Wagner;SEA;Bobby Wagner;SEA;00-0029255
493;54505;Boye Mafe;SEA;Boye Mafe;SEA;00-0038133
282;46074;Bradley Chubb;MIA;Bradley Chubb;MIA;00-0034832
567;41257;Bradley Roby;PHI;Bradley Roby;PHI;00-0031372
437;53629;Brandin Echols;NYJ;Brandin Echols;NYJ;00-0036504
788;46729;Brandon Facyson;LV;Brandon Facyson;LV;00-0034545
310;35452;Brandon Graham;PHI;Brandon Graham;PHI;00-0027865
476;52478;Brandon Jones;MIA;Brandon Jones;MIA;00-0036221
54;53533;Brandon Stephens;BAL;Brandon Stephens;BAL;00-0036987
604;41363;Brent Urban;BAL;Brent Urban;BAL;00-0031177
428;56576;Brevin Allen;LAC;;;
139;54531;Brian Asamoah II;MIN;;;00-0037822
6;55910;Brian Branch;DET;Brian Branch;DET;00-0039141
443;47799;Brian Burns;CAR;Brian Burns;CAR;00-0035713
734;38545;Bruce Irvin;DET;Bruce Irvin;DET;00-0029193
464;55893;Bryan Bresee;NO;Bryan Bresee;NO;00-0038995
0;54527;Bryan Cook;KC;Bryan Cook;KC;00-0037193
537;52566;Bryce Hall;NYJ;Bryce Hall;NYJ;00-0036241
434;53053;Bryce Huff;NYJ;Bryce Huff;NYJ;00-0036151
509;42365;Bud Dupree;ATL;Bud Dupree;ATL;00-0032146
193;44848;Budda Baker;ARI;Budda Baker;ARI;00-0033890
127;47816;Byron Murphy;MIN;Byron Murphy;MIN;00-0035236
319;55942;Byron Young;LA;Byron Young;LA;00-0039137
7;47888;C.J. Gardner-Johnson;DET;;;00-0035253
359;42094;C.J. Goodwin;DAL;C.J. Goodwin;DAL;00-0031357
42;52417;C.J. Henderson;CAR;C.J. Henderson;CAR;00-0036281
362;41243;C.J. Mosley;NYJ;C.J. Mosley;NYJ;00-0031296
459;33131;Calais Campbell;ATL;Calais Campbell;ATL;00-0026190
623;55883;Calijah Kancey;TB;Calijah Kancey;TB;00-0039063
683;45590;Calvin Munson;NE;Calvin Munson;NE;00-0033716
763;45590;Calvin Munson;MIA;Calvin Munson;MIA;00-0033716
589;52947;Cam Gill;TB;Cam Gill;TB;00-0036045
816;56265;Cam Jones;KC;Cam Jones;KC;00-0038513
391;48487;Cam Lewis;BUF;;;00-0035357
587;55916;Cam Smith;MIA;Cam Smith;MIA;00-0039133
79;54525;Cam Taylor-Britt;CIN;Cam Taylor-Britt;CIN;00-0037753
482;54689;Cameron Goode;MIA;Cameron Goode;MIA;00-0037315
446;37097;Cameron Jordan;NO;Cameron Jordan;NO;00-0027962
96;56007;Cameron Mitchell;CLE;Cameron Mitchell;CLE;00-0038585
88;53540;Cameron Sample;CIN;;;00-0036850
8;44906;Cameron Sutton;DET;Cameron Sutton;DET;00-0033930
533;54552;Cameron Thomas;ARI;Cameron Thomas;ARI;00-0037815
128;53554;Camryn Bynum;MIN;Camryn Bynum;MIN;00-0036629
166;48537;Carl Granderson;NO;Carl Granderson;NO;00-0035402
613;53490;Carlos Basham;NYG;Carlos Basham;NYG;00-0036553
120;46132;Carlton Davis III;TB;;;00-0034778
235;56097;Carrington Valentine;GB;Carrington Valentine;GB;00-0038408
210;52641;Casey Toohill;WAS;Casey Toohill;WAS;00-0036403
412;54535;Chad Muma;JAX;Chad Muma;JAX;00-0037811
16;55984;Chamarri Conner;KC;Chamarri Conner;KC;00-0038982
512;55148;Chandler Wooten;CAR;Chandler Wooten;CAR;00-0037560
184;46652;Chandon Sullivan;PIT;Chandon Sullivan;PIT;00-0034468
481;54567;Channing Tindall;MIA;Channing Tindall;MIA;00-0037813
20;44834;Charles Harris;DET;Charles Harris;DET;00-0033880
169;46757;Charvarius Ward;SF;Charvarius Ward;SF;00-0034573
488;52410;Chase Young;WAS;Chase Young;WAS;00-0036321
767;52410;Chase Young;SF;Chase Young;SF;00-0036321
529;53513;Chauncey Golston;DAL;Chauncey Golston;DAL;00-0036982
80;44872;Chidobe Awuzie;CIN;Chidobe Awuzie;CIN;00-0033548
796;46407;Chris Lammons;IND;Chris Lammons;IND;00-0034145
484;53547;Chris Rumph II;LAC;;;00-0036867
759;56035;Chris Smith II;LV;;;
369;54650;Christian Benford;BUF;Christian Benford;BUF;00-0037288
306;54026;Christian Elliss;PHI;Christian Elliss;PHI;00-0036813
286;55881;Christian Gonzalez;NE;Christian Gonzalez;NE;00-0039147
46;54540;Christian Harris;HOU;Christian Harris;HOU;00-0037823
800;54705;Christian Holmes;WAS;Christian Holmes;WAS;00-0037095
121;56540;Christian Izien;TB;Christian Izien;TB;00-0038820
313;52844;Christian Rozeboom;LA;Christian Rozeboom;LA;00-0035942
740;47796;Christian Wilkins;MIA;Christian Wilkins;MIA;00-0035231
695;55978;Clark Phillips III;ATL;;;00-0038568
686;47787;Clelin Ferrell;SF;Clelin Ferrell;SF;00-0035692
320;54607;Cobie Durant;LA;Cobie Durant;LA;00-0037839
323;54574;Coby Bryant;SEA;Coby Bryant;SEA;00-0038136
203;47871;Cody Barton;WAS;Cody Barton;WAS;00-0035672
176;47956;Cole Holcomb;PIT;Cole Holcomb;PIT;00-0035286
539;54546;Cordale Flott;NYG;Cordale Flott;NYG;00-0037758
463;47963;Corey Ballentine;GB;Corey Ballentine;GB;00-0035633
64;43797;Cory Littleton;HOU;Cory Littleton;HOU;00-0032677
598;46535;Craig James;NYJ;Craig James;NYJ;00-0034310
657;48173;Curtis Bolton;LV;Curtis Bolton;LV;00-0035076
688;53933;Curtis Robinson;SF;Curtis Robinson;SF;00-0036728
744;56111;D.J. Ivey;CIN;D.J. Ivey;CIN;00-0038642
363;46211;D.J. Reed;NYJ;D.J. Reed;NYJ;00-0034384
142;52525;D.J. Wonnum;MIN;D.J. Wonnum;MIN;00-0036335
776;48103;D'Angelo Ross;HOU;;;
663;54915;D'Anthony Bell;CLE;D'Anthony Bell;CLE;00-0037332
808;54626;D'Marco Jackson;NO;D'Marco Jackson;NO;00-0037271
491;56598;D'Shawn Jamison;CAR;D'Shawn Jamison;CAR;00-0038877
653;55950;Daiyan Henley;LAC;Daiyan Henley;LAC;00-0038553
241;46908;Dallin Leavitt;GB;Dallin Leavitt;GB;00-0034726
105;54980;Dallis Flowers;IND;Dallis Flowers;IND;00-0037395
684;44867;Dalvin Tomlinson;CLE;Dalvin Tomlinson;CLE;00-0033546
701;53641;Damar Hamlin;BUF;Damar Hamlin;BUF;00-0036888
244;54580;Damarri Mathis;DEN;Damarri Mathis;DEN;00-0038105
353;54641;Damone Clark;DAL;Damone Clark;DAL;00-0037281
182;44962;Damontae Kazee;PIT;Damontae Kazee;PIT;00-0033512
351;54579;Dane Belton;NYG;Dane Belton;NYG;00-0038123
392;52647;Dane Jackson;BUF;Dane Jackson;BUF;00-0036166
561;41502;Daniel Sorensen;NO;;;00-0030665
511;52565;Daniel Thomas;JAX;Daniel Thomas;JAX;00-0036306
141;42431;Danielle Hunter;MIN;Danielle Hunter;MIN;00-0031565
541;46329;Danny Johnson;WAS;Danny Johnson;WAS;00-0034071
438;42346;Dante Fowler Jr.;DAL;;;00-0032052
99;46456;Darious Williams;JAX;Darious Williams;JAX;00-0034203
658;56003;Darius Rush;PIT;Darius Rush;PIT;00-0038388
295;39984;Darius Slay;PHI;Darius Slay;PHI;00-0030062
358;52518;Darnay Holmes;NYG;Darnay Holmes;NYG;00-0036394
216;47804;Darnell Savage;GB;Darnell Savage;GB;00-0034968
350;54632;DaRon Bland;DAL;;;00-0037275
722;46082;Daron Payne;WAS;Daron Payne;WAS;00-0034333
106;55137;Darrell Baker Jr.;IND;;;00-0037549
768;56020;Darrell Luter Jr.;SF;;;00-0038594
330;52456;Darrell Taylor;SEA;Darrell Taylor;SEA;00-0036413
204;53592;Darrick Forrest;WAS;Darrick Forrest;WAS;00-0036638
68;43366;Daryl Worley;BAL;Daryl Worley;BAL;00-0032891
389;47862;David Long;LV;David Long;LV;00-0035665
702;47862;David Long;CAR;David Long;CAR;00-0035665
278;47971;David Long Jr.;MIA;David Long Jr.;MIA;00-0035292
612;42512;David Mayo;WAS;David Mayo;WAS;00-0031596
67;54510;David Ojabo;BAL;David Ojabo;BAL;00-0038142
550;43409;David Onyemata;ATL;David Onyemata;ATL;00-0033051
669;44991;Davon Godchaux;NE;Davon Godchaux;NE;00-0033860
583;44880;Dawuane Smoot;JAX;Dawuane Smoot;JAX;00-0033907
81;54496;Daxton Hill;CIN;;;00-0037743
232;43404;De'Vondre Campbell;GB;De'Vondre Campbell;GB;00-0032401
140;43426;Dean Lowry;MIN;Dean Lowry;MIN;00-0032412
528;42901;Dean Marlowe;LAC;Dean Marlowe;LAC;00-0031870
406;43474;DeAndre Houston-Carson;HOU;DeAndre Houston-Carson;HOU;00-0032790
608;43474;DeAndre Houston-Carson;BAL;;;00-0032790
654;54701;Deane Leonard;LAC;Deane Leonard;LAC;00-0037320
592;44944;Deatrich Wise;NE;Deatrich Wise;NE;00-0033947
28;52272;Dee Alford;ATL;Dee Alford;ATL;00-0037034
421;46699;Dee Delaney;TB;Dee Delaney;TB;00-0034515
536;56081;Dee Winters;SF;Dee Winters;SF;00-0038625
118;43296;DeForest Buckner;IND;DeForest Buckner;IND;00-0032378
490;43341;Deion Jones;CAR;Deion Jones;CAR;00-0032388
517;48364;Del'Shawn Phillips;BAL;Del'Shawn Phillips;BAL;00-0035202
439;54617;Delarrin Turner-Yell;DEN;Delarrin Turner-Yell;DEN;00-0037264
508;56089;DeMarcco Hellams;ATL;DeMarcco Hellams;ATL;00-0038628
627;41263;DeMarcus Lawrence;DAL;;;00-0031411
543;44863;DeMarcus Walker;CHI;DeMarcus Walker;CHI;00-0033782
145;38607;Demario Davis;NO;Demario Davis;NO;00-0029607
534;48117;Demetrius Flannigan-Fowles;SF;Demetrius Flannigan-Fowles;SF;00-0035020
423;42031;Denico Autry;TEN;Denico Autry;TEN;00-0031254
200;46657;Dennis Gardeck;ARI;Dennis Gardeck;ARI;00-0034473
47;42391;Denzel Perryman;HOU;Denzel Perryman;HOU;00-0032103
73;46073;Denzel Ward;CLE;Denzel Ward;CLE;00-0034856
170;53601;Deommodore Lenoir;SF;Deommodore Lenoir;SF;00-0036563
787;43413;Deon Bush;KC;Deon Bush;KC;00-0032774
345;55888;Deonte Banks;NYG;Deonte Banks;NYG;00-0039000
525;44826;Derek Barnett;PHI;Derek Barnett;PHI;00-0033876
48;54468;Derek Stingley Jr.;HOU;;;00-0037237
333;55902;Derick Hall;SEA;Derick Hall;SEA;00-0039047
314;54677;Derion Kendrick;LA;Derion Kendrick;LA;00-0037842
503;56547;Derrek Pitts;TB;Derrek Pitts;TB;00-0038827
12;53542;Derrick Barnes;DET;Derrick Barnes;DET;00-0036964
577;46144;Derrick Nnadi;KC;Derrick Nnadi;KC;00-0034818
265;46086;Derwin James;LAC;Derwin James;LAC;00-0034790
272;46259;DeShon Elliott;MIA;DeShon Elliott;MIA;00-0034277
741;44964;Desmond King;HOU;Desmond King;HOU;00-0033566
332;47793;Devin Bush;SEA;Devin Bush;SEA;00-0035525
100;54492;Devin Lloyd;JAX;Devin Lloyd;JAX;00-0037244
122;47788;Devin White;TB;Devin White;TB;00-0035707
402;55869;Devon Witherspoon;SEA;Devon Witherspoon;SEA;00-0039169
506;54493;Devonte Wyatt;GB;Devonte Wyatt;GB;00-0037075
798;47800;Dexter Lawrence;NYG;Dexter Lawrence;NYG;00-0035683
675;53883;Dicaprio Bootle;CAR;Dicaprio Bootle;CAR;00-0036678
728;56364;Divaad Wilson;ARI;Divaad Wilson;ARI;00-0038674
250;53509;Divine Deablo;LV;Divine Deablo;LV;00-0036990
585;55945;DJ Johnson;CAR;;;00-0038535
564;43455;DJ Reader;CIN;;;00-0032424
89;55925;DJ Turner II;CIN;;;00-0038549
236;54639;Dominique Robinson;CHI;Dominique Robinson;CHI;00-0037082
496;47996;Donovan Wilson;DAL;Donovan Wilson;DAL;00-0035301
34;46124;Donte Jackson;CAR;Donte Jackson;CAR;00-0034356
530;46185;Dorance Armstrong;DAL;Dorance Armstrong;DAL;00-0034373
393;55956;Dorian Williams;BUF;Dorian Williams;BUF;00-0038557
451;54526;Drake Jackson;SF;Drake Jackson;SF;00-0037826
662;56644;Drake Thomas;SEA;Drake Thomas;SEA;00-0038922
171;47931;Dre Greenlaw;SF;Dre Greenlaw;SF;00-0034982
697;47854;Dre'Mont Jones;SEA;Dre'Mont Jones;SEA;00-0035678
472;55932;Drew Sanders;DEN;Drew Sanders;DEN;00-0039003
23;47913;Drue Tranquill;KC;Drue Tranquill;KC;00-0035262
477;44887;Duke Riley;MIA;Duke Riley;MIA;00-0033549
568;47988;Duke Shelley;LA;Duke Shelley;LA;00-0035696
650;40039;Duron Harmon;CHI;Duron Harmon;CHI;00-0030383
770;40039;Duron Harmon;CLE;Duron Harmon;CLE;00-0030383
672;45643;Dylan Cole;CHI;Dylan Cole;CHI;00-0033765
467;55974;Dylan Horton;HOU;Dylan Horton;HOU;00-0039009
112;47947;E.J. Speed;IND;E.J. Speed;IND;00-0034987
699;47792;Ed Oliver;BUF;Ed Oliver;BUF;00-0035230
223;44925;Eddie Jackson;CHI;Eddie Jackson;CHI;00-0033784
698;42331;Efe Obada;WAS;Efe Obada;WAS;00-0031500
819;56668;Ekow Boye-Doe;KC;;;
626;56501;Eku Leota;CAR;Eku Leota;CAR;00-0038782
177;43503;Elandon Roberts;PIT;Elandon Roberts;PIT;00-0032442
273;43299;Eli Apple;MIA;Eli Apple;MIA;00-0032379
566;56242;Eli Ricks;PHI;Eli Ricks;PHI;00-0038487
478;46501;Elijah Campbell;MIA;Elijah Campbell;MIA;00-0034248
231;54719;Elijah Hicks;CHI;Elijah Hicks;CHI;00-0037096
159;53529;Elijah Molden;TEN;Elijah Molden;TEN;00-0036992
449;52904;Elijah Riley;PIT;Elijah Riley;PIT;00-0036002
205;55880;Emmanuel Forbes;WAS;Emmanuel Forbes;WAS;00-0039151
554;46354;Emmanuel Moseley;DET;;;00-0034096
479;43321;Emmanuel Ogbah;MIA;Emmanuel Ogbah;MIA;00-0033073
641;56673;Eric Garror;TEN;Eric Garror;TEN;00-0038961
266;42388;Eric Kendricks;LAC;Eric Kendricks;LAC;00-0031554
49;43395;Eric Murray;HOU;Eric Murray;HOU;00-0033038
772;42390;Eric Rowe;PIT;Eric Rowe;PIT;00-0031555
761;53458;Eric Stokes;GB;Eric Stokes;GB;00-0036901
240;45215;Eric Wilson;GB;Eric Wilson;GB;00-0033336
802;39908;Erik Harris;SF;;;00-0032320
315;53532;Ernest Jones;LA;Ernest Jones;LA;00-0036994
249;52764;Essang Bassey;DEN;Essang Bassey;DEN;00-0035862
655;52764;Essang Bassey;LAC;Essang Bassey;LAC;00-0035862
764;56374;Ethan Bonner;MIA;Ethan Bonner;MIA;00-0038684
497;46674;Ezekiel Turner;ARI;Ezekiel Turner;ARI;00-0034490
258;44893;Fabian Moreau;DEN;Fabian Moreau;DEN;00-0033918
24;55895;Felix Anudike-Uzomah;KC;Felix Anudike-Uzomah;KC;00-0039006
101;46269;Foye Oluokun;JAX;;;00-0034413
260;42406;Frank Clark;DEN;Frank Clark;DEN;00-0032210
646;42406;Frank Clark;SEA;Frank Clark;SEA;00-0032210
40;46527;Frankie Luvu;CAR;Frankie Luvu;CAR;00-0034302
172;46139;Fred Warner;SF;Fred Warner;SF;00-0034815
783;53599;Garret Wallow;TEN;Garret Wallow;TEN;00-0036844
618;55937;Garrett Williams;ARI;Garrett Williams;ARI;00-0039007
55;52627;Geno Stone;BAL;Geno Stone;BAL;00-0036199
13;54495;George Karlaftis;KC;George Karlaftis;KC;00-0037192
192;46349;George Odum;SF;George Odum;SF;00-0034091
82;47855;Germaine Pratt;CIN;Germaine Pratt;CIN;00-0035697
813;55918;Gervon Dexter Sr.;CHI;;;00-0039070
552;42480;Grady Jarrett;ATL;Grady Jarrett;ATL;00-0031583
74;52452;Grant Delpit;CLE;Grant Delpit;CLE;00-0036282
557;53688;Grant Stuard;IND;Grant Stuard;IND;00-0036672
70;52897;Grayland Arnold;HOU;Grayland Arnold;HOU;00-0035995
420;47917;Greg Gaines;TB;Greg Gaines;TB;00-0035667
75;53455;Greg Newsome II;CLE;;;00-0036996
489;53459;Greg Rousseau;BUF;;;00-0036914
413;46310;Greg Stroman;CHI;Greg Stroman;CHI;00-0034337
685;54662;Gregory Junior;JAX;Gregory Junior;JAX;00-0037296
407;44957;Grover Stewart;IND;Grover Stewart;IND;00-0033952
502;44825;Haason Reddick;PHI;Haason Reddick;PHI;00-0033875
154;46110;Harold Landry III;TEN;;;00-0034828
483;46165;Harrison Phillips;MIN;Harrison Phillips;MIN;00-0034782
129;38559;Harrison Smith;MIN;Harrison Smith;MIN;00-0029606
60;56032;Henry To'oTo'o;HOU;Henry To'oTo'o;HOU;00-0038599
457;53530;Ifeatu Melifonwu;DET;Ifeatu Melifonwu;DET;00-0036993
242;53187;Innis Gaines;GB;Innis Gaines;GB;00-0036462
576;45038;Isaac Rochell;LV;Isaac Rochell;LV;00-0033588
163;46168;Isaac Yiadom;NO;Isaac Yiadom;NO;00-0034780
588;47975;Isaiah Buggs;DET;Isaiah Buggs;DET;00-0035219
238;53649;Isaiah McDuffie;GB;Isaiah McDuffie;GB;00-0036658
810;55991;Isaiah McGuire;CLE;Isaiah McGuire;CLE;00-0038574
190;46127;Isaiah Oliver;SF;Isaiah Oliver;SF;00-0034357
609;55100;Isaiah Pola-Mao;LV;Isaiah Pola-Mao;LV;00-0037512
352;52416;Isaiah Simmons;NYG;Isaiah Simmons;NYG;00-0036356
354;53656;Israel Mukuamu;DAL;Israel Mukuamu;DAL;00-0036661
138;56527;Ivan Pace Jr.;MIN;;;00-0038807
267;46775;J.C. Jackson;LAC;J.C. Jackson;LAC;00-0034591
558;46775;J.C. Jackson;NE;J.C. Jackson;NE;00-0034591
738;55079;J.J. Russell;TB;J.J. Russell;TB;00-0037491
524;46378;J.T. Gray;NO;J.T. Gray;NO;00-0034116
549;55240;Ja'Marcus Ingram;BUF;Ja'Marcus Ingram;BUF;00-0037661
441;54969;Ja'Quan McMillian;DEN;Ja'Quan McMillian;DEN;00-0037384
284;54679;Ja'Sir Taylor;LAC;Ja'Sir Taylor;LAC;00-0037307
287;46212;Ja'Whaun Bentley;NE;Ja'Whaun Bentley;NE;00-0034385
288;44837;Jabrill Peppers;NE;Jabrill Peppers;NE;00-0033883
19;55882;Jack Campbell;DET;Jack Campbell;DET;00-0039018
498;54877;Jack Cochrane;KC;Jack Cochrane;KC;00-0037208
155;55184;Jack Gibbens;TEN;Jack Gibbens;TEN;00-0037596
611;54586;Jack Jones;NE;Jack Jones;NE;00-0038039
707;54586;Jack Jones;LV;Jack Jones;LV;00-0038039
230;54781;Jack Sanborn;CHI;Jack Sanborn;CHI;00-0037109
594;55212;Jacob Hummel;LA;;;00-0037633
399;41227;Jadeveon Clowney;BAL;Jadeveon Clowney;BAL;00-0031364
279;53447;Jaelan Phillips;MIA;Jaelan Phillips;MIA;00-0036934
289;47826;Jahlani Tavai;NE;Jahlani Tavai;NE;00-0035240
217;46087;Jaire Alexander;GB;Jaire Alexander;GB;00-0034728
470;55043;Jake Hansen;HOU;Jake Hansen;HOU;00-0037457
251;55969;Jakorian Bennett;LV;Jakorian Bennett;LV;00-0039072
504;46630;Jalen Davis;CIN;Jalen Davis;CIN;00-0034446
724;56174;Jalen Harris;WAS;Jalen Harris;WAS;00-0038423
304;43522;Jalen Mills;NE;Jalen Mills;NE;00-0032803
50;54502;Jalen Pitre;HOU;Jalen Pitre;HOU;00-0037246
631;43294;Jalen Ramsey;MIA;Jalen Ramsey;MIA;00-0033055
461;44937;Jalen Reeves-Maybin;DET;Jalen Reeves-Maybin;DET;00-0033557
194;49410;Jalen Thompson;ARI;Jalen Thompson;ARI;00-0035705
605;54584;Jalyn Armour-Davis;BAL;Jalyn Armour-Davis;BAL;00-0038119
538;44818;Jamal Adams;SEA;Jamal Adams;SEA;00-0033872
123;47877;Jamel Dean;TB;Jamel Dean;TB;00-0035699
296;43351;James Bradberry;PHI;James Bradberry;PHI;00-0032890
25;54682;James Houston;DET;James Houston;DET;00-0037310
617;52697;James Pierre;PIT;James Pierre;PIT;00-0035795
214;52637;James Smith-Williams;WAS;James Smith-Williams;WAS;00-0036351
379;53575;Jamien Sherwood;NYJ;Jamien Sherwood;NYJ;00-0036500
206;53448;Jamin Davis;WAS;Jamin Davis;WAS;00-0036614
586;56010;Jammie Robinson;CAR;Jammie Robinson;CAR;00-0038587
750;53563;Janarius Robinson;LV;Janarius Robinson;LV;00-0036878
224;54513;Jaquan Brisker;CHI;Jaquan Brisker;CHI;00-0038135
784;43338;Jarran Reed;SEA;Jarran Reed;SEA;00-0032387
346;53604;Jason Pinnock;NYG;Jason Pinnock;NYG;00-0036502
730;56099;Jason Taylor;LA;Jason Taylor;LA;00-0039060
792;41251;Jason Verrett;SF;;;00-0031334
687;43378;Javon Hargrave;SF;Javon Hargrave;SF;00-0033109
754;52422;Javon Kinlaw;SF;Javon Kinlaw;SF;00-0036260
751;55999;Jay Ward;MIN;Jay Ward;MIN;00-0038578
35;53437;Jaycee Horn;CAR;Jaycee Horn;CAR;00-0036944
411;54708;Jaylen Watson;KC;Jaylen Watson;KC;00-0037195
780;56532;Jaylin Williams;MIN;Jaylin Williams;MIN;00-0038812
45;52542;Jaylinn Hawkins;ATL;Jaylinn Hawkins;ATL;00-0036302
732;52542;Jaylinn Hawkins;LAC;Jaylinn Hawkins;LAC;00-0036302
225;52458;Jaylon Johnson;CHI;Jaylon Johnson;CHI;00-0036292
419;54778;Jaylon Jones;CHI;Jaylon Jones;CHI;00-0037106
522;56086;Jaylon Jones;IND;Jaylon Jones;IND;00-0038407
676;43323;Jaylon Smith;LV;Jaylon Smith;LV;00-0033052
336;43533;Jayron Kearse;DAL;Jayron Kearse;DAL;00-0032454
458;52411;Jeff Okudah;ATL;Jeff Okudah;ATL;00-0036274
425;47802;Jeffery Simmons;TEN;Jeffery Simmons;TEN;00-0035643
637;45018;Jeremiah Ledbetter;JAX;Jeremiah Ledbetter;JAX;00-0033582
453;54857;Jeremiah Moon;BAL;Jeremiah Moon;BAL;00-0037179
